"dataset","method","base_graph_method","canonical_base_graph_method","graph_seed","training_seed","relation_channel_spec","term_channel_spec","feature_transform_name","feature_transform_family","node_types_modified","feature_dim_by_type_after_loader","semantic_structural_storage_ratio","hgb_raw_file_byte_ratio","effective_total_byte_ratio","support_edge_ratio","test_micro_f1","test_macro_f1","validation_micro_f1","validation_macro_f1","official_sehgnn_unmodified","eligible_for_main_decision","eligible_for_adapter_table","cache_hygiene_pass","feature_loader_audit_pass","fit_uses_labels","fit_uses_test_labels","success","status","failed_reason"
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-venue","zero","","","0.19881894209127793","0.5351147788692938","0.5351147788692938","0.1759264670278754","0.95","0.94635","0.958848","0.955964","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-venue","zero","","","0.3721235707242166","0.540698901766312","0.540698901766312","0.3681323727073124","0.948592","0.9447150000000001","0.958848","0.955964","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","zero-venue","zero","","","0.7765286382078632","0.5537290849442383","0.5537290849442383","0.8166434302029504","0.9492959999999999","0.945557","0.958848","0.955964","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-term","zero","","","0.19881894209127793","0.5141441443570668","0.5141441443570668","0.1759264670278754","0.948944","0.945449","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-term","zero","","","0.3721235707242166","0.5197282672540849","0.5197282672540849","0.3681323727073124","0.9503520000000001","0.9468489999999999","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","zero-term","zero","","","0.7765286382078632","0.5327584504320113","0.5327584504320113","0.8166434302029504","0.9492959999999999","0.945789","0.962963","0.960235","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-target-author-only","zero","","","0.19881894209127793","0.5325506190838022","0.5325506190838022","0.1759264670278754","0.947887","0.944611","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-target-author-only","zero","","","0.3721235707242166","0.5381347419808203","0.5381347419808203","0.3681323727073124","0.948944","0.9456610000000001","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","zero-target-author-only","zero","","","0.7765286382078632","0.5511649251587467","0.5511649251587467","0.8166434302029504","0.9482389999999999","0.944833","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-support-author-only","zero","","","0.19881894209127793","0.5325506342340681","0.5325506342340681","0.1759264670278754","0.947887","0.944611","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-support-author-only","zero","","","0.3721235707242166","0.5381347571310863","0.5381347571310863","0.3681323727073124","0.948944","0.9456610000000001","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP100","PTTP100","zero-support-author-only","zero","","","0.7765286382078632","0.5511649403090128","0.5511649403090128","0.8166434302029504","0.9482389999999999","0.944833","0.9547329999999999","0.951754","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP00","PTTP00","zero-all-support-features","zero","","","0.19881894209127793","0.5161711817640733","0.5161711817640733","0.1759264670278754","0.947183","0.9432729999999999","0.958848","0.955964","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","2","PTTP30","PTTP30","zero-all-support-features","zero","","","0.3721235707242166","0.5217553046610914","0.5217553046610914","0.3681323727073124","0.947887","0.94387","0.958848","0.955964","False","False","True","True","","False","False","True","success",""
